# FractureId; NumTraces
0; 7
# TraceId; Tips; Length
180; 0; 5.6938502417703540e-01
163; 0; 3.7499341735129743e-01
178; 0; 3.3129266381255851e-01
179; 0; 6.1036514153672658e-02
177; 0; 4.9589421373269785e-02
166; 1; 9.1180787712735489e-01
165; 1; 8.9344226089632450e-01
169; 1; 8.8777586775709461e-01
173; 1; 8.0899334561787051e-01
171; 1; 7.6690482068332644e-01
184; 1; 6.9434509606636297e-01
175; 1; 6.5463051593251886e-01
170; 1; 6.0907503004802821e-01
43; 1; 5.0269084482302506e-01
71; 1; 4.9334759254711774e-01
164; 1; 4.6053016527194829e-01
182; 1; 4.2422191302321977e-01
12; 1; 4.1882175187814558e-01
91; 1; 4.1816157727458703e-01
167; 1; 4.1798765587969688e-01
176; 1; 3.9830064002733406e-01
174; 1; 3.7856466366688690e-01
181; 1; 2.2143426630877736e-01
168; 1; 1.8829959712507519e-01
172; 1; 8.7965946751515575e-03
# FractureId; NumTraces
11; 22
# TraceId; Tips; Length
198; 0; 1.2188468145802751e+00
200; 0; 6.1234732468180042e-01
194; 0; 5.0627045363944079e-01
114; 0; 4.1238289690281027e-01
3; 0; 3.9439852449745560e-01
192; 0; 2.8851619876241535e-01
188; 0; 1.0477358321673670e-01
187; 0; 1.0296992401265122e-01
189; 1; 1.0648771738260840e+00
186; 1; 8.2776979494388436e-01
185; 1; 6.0693139225329529e-01
190; 1; 6.0349437559238295e-01
202; 1; 5.4757687624136009e-01
193; 1; 4.5521825605442684e-01
197; 1; 2.9531317310365923e-01
143; 1; 2.6469561061149333e-01
196; 1; 2.4469509490708494e-01
199; 1; 1.2781400211742835e-01
191; 1; 3.5421316955079864e-02
195; 1; 2.9980431022665073e-02
201; 1; 1.8188533229440466e-02
13; 1; 1.1440457748453384e-02
# FractureId; NumTraces
12; 15
# TraceId; Tips; Length
203; 0; 5.8495333437547492e-01
206; 0; 4.3459483311429092e-01
211; 1; 1.0614251912418557e+00
135; 1; 6.0759601814421049e-01
185; 1; 6.0693139225329529e-01
204; 1; 4.9881610400579968e-01
213; 1; 3.6687504891024769e-01
208; 1; 3.6482203614073894e-01
